company_name,order_id,order_date,ship_date,shipping_type,product,sales,profit,shipping_cost,year
Maritime Data,4dc-7d84,07/16/2020,07/18/2020,Express,Database Security,225,254.75,89.87,2020
Maritime Data,800-187b,07/16/2020,07/16/2020,Same Day,GPU Software,169,61.05,79.3,2020
Maritime Data,5bc-5785,07/16/2020,07/18/2020,Express,Workforce Scheduling,25,97.3,56.56,2020
Fusion Energy,42a-a8a8,07/16/2020,07/18/2020,Express,Combustion Fluids,37,146.14,10.17,2020
Fusion Energy,9ec-521b,07/16/2020,07/18/2020,Express,Cleaning Supplies,230,296.48,23.13,2020
Fusion Energy,293-1263,07/16/2020,07/20/2020,Standard,Greases,242,92.94,33.98,2020
Fusion Energy,8c4-d043,07/16/2020,07/21/2020,Standard,Rubber,179,114.9,25.47,2020
Bitterroot Wood Studio,0d8-5b87,07/16/2020,07/22/2020,Standard,Chairs,33,193.02,34.02,2020
Bitterroot Wood Studio,a8f-76d6,07/16/2020,07/16/2020,Same Day,Tables,153,233.53,16.81,2020
Bitterroot Wood Studio,b7c-482d,07/16/2020,07/18/2020,Express,Bedframes,257,47.89,48.09,2020
Bitterroot Wood Studio,9cd-aa98,07/16/2020,07/18/2020,Express,Bookcases,171,142.1,78.65,2020
Bitterroot Wood Studio,e3f-90c3,07/16/2020,07/18/2020,Express,Cabinets,88,215.01,62.78,2020
Echo,332-e4a9,07/16/2020,07/16/2020,Same Day,accessories,197,269.52,80.61,2020
Echo,779-b208,07/16/2020,07/18/2020,Express,phones,30,279.86,78.3,2020
Echo,2b5-1f94,07/16/2020,07/21/2020,Standard,computers,142,186.01,92.27,2020
Echo,b9b-97e6,07/16/2020,07/18/2020,Express,tablets,64,124.5,81.16,2020
Echo,2ba-20f8,07/16/2020,07/16/2020,Same Day,washers,118,244.48,31.6,2020
Echo,768-a161,07/16/2020,07/16/2020,Same Day,dryers,123,45.76,57.64,2020
Echo,b77-32a2,07/16/2020,07/20/2020,Standard,car radios,217,199.71,93.04,2020
Apex Corporation,439-50df,07/19/2020,07/19/2020,Same Day,accessories,241,136.47,38.44,2020
Apex Corporation,c5f-042a,07/19/2020,07/23/2020,Standard,phones,208,234.31,16.94,2020
Apex Corporation,45e-dd12,07/19/2020,07/19/2020,Same Day,computers,236,186.64,18.3,2020
Apex Corporation,ae4-6ada,07/19/2020,07/21/2020,Express,tablets,263,66.95,49.22,2020
Apex Corporation,d42-e86b,07/19/2020,07/24/2020,Standard,televisions,240,202.3,40.54,2020
Maritime Data,cca-19a5,07/19/2020,07/24/2020,Standard,Cloud Service,257,190.15,55.02,2020
Maritime Data,f7e-8b48,07/19/2020,07/23/2020,Standard,Banking platform,39,213.13,85.61,2020
Maritime Data,a22-9a82,07/19/2020,07/25/2020,Standard,Business Analytics,83,209.28,79.08,2020
Maritime Data,0cf-2d1f,07/19/2020,07/19/2020,Same Day,Database Security,257,252.94,82.51,2020
Maritime Data,d3d-0137,07/19/2020,07/21/2020,Express,GPU Software,59,52.96,22.73,2020
Maritime Data,8f1-3b08,07/19/2020,07/19/2020,Same Day,Workforce Scheduling,185,204.73,73.8,2020
Fusion Energy,29a-ffff,07/19/2020,07/23/2020,Standard,Combustion Fluids,178,69.56,59.62,2020
Fusion Energy,b2c-1f2b,07/19/2020,07/19/2020,Same Day,Cleaning Supplies,181,292.16,53.17,2020
Fusion Energy,fa1-8012,07/19/2020,07/19/2020,Same Day,Greases,50,194.18,85.29,2020
Fusion Energy,265-6766,07/19/2020,07/25/2020,Standard,Rubber,264,265.97,75.87,2020
Bitterroot Wood Studio,6e8-cb73,07/19/2020,07/21/2020,Express,Chairs,21,59.06,86.74,2020
Bitterroot Wood Studio,7b5-3135,07/19/2020,07/24/2020,Standard,Tables,194,114.9,64.15,2020
Bitterroot Wood Studio,69b-eef3,07/19/2020,07/24/2020,Standard,Bedframes,140,227.14,71.8,2020
Bitterroot Wood Studio,990-8da5,07/19/2020,07/19/2020,Same Day,Bookcases,148,60.62,31.54,2020
Bitterroot Wood Studio,d57-62f9,07/19/2020,07/21/2020,Express,Cabinets,299,273.88,69.3,2020
Echo,e2f-d18f,07/19/2020,07/19/2020,Same Day,accessories,126,51.76,50.78,2020
Echo,5b6-6f18,07/19/2020,07/21/2020,Express,phones,243,175.88,13.2,2020
Echo,53c-a994,07/19/2020,07/27/2020,Standard,computers,169,220.94,93.82,2020
Echo,88a-bfda,07/19/2020,07/19/2020,Same Day,tablets,165,234.56,98.51,2020
Echo,edd-31b8,07/19/2020,07/19/2020,Same Day,washers,79,216.58,94.65,2020
Echo,215-2370,07/19/2020,07/21/2020,Express,dryers,64,225.33,25.92,2020
Echo,9f0-a232,07/19/2020,07/25/2020,Standard,car radios,50,104.47,92.97,2020
Apex Corporation,453-c049,07/20/2020,07/22/2020,Express,accessories,10,266.63,93.53,2020
Apex Corporation,771-1ac3,07/20/2020,07/20/2020,Same Day,phones,60,233.21,61.73,2020
Apex Corporation,a22-fcf5,07/20/2020,07/24/2020,Standard,computers,94,75.89,95.13,2020
Apex Corporation,209-6e0e,07/20/2020,07/22/2020,Express,tablets,72,118.05,71.53,2020
Apex Corporation,ded-2e38,07/20/2020,07/20/2020,Same Day,televisions,173,258.87,62.83,2020
Maritime Data,cdb-7af0,07/20/2020,07/22/2020,Express,Cloud Service,241,290.47,98.29,2020
Maritime Data,aea-8a15,07/20/2020,07/27/2020,Standard,Banking platform,226,228.81,16.39,2020
Maritime Data,482-d1a6,07/20/2020,07/20/2020,Same Day,Business Analytics,274,114.68,37.47,2020
Maritime Data,652-c882,07/20/2020,07/27/2020,Standard,Database Security,253,277.5,25.66,2020
Maritime Data,428-66b2,07/20/2020,07/20/2020,Same Day,GPU Software,292,158.37,59.75,2020
Maritime Data,3c0-5906,07/20/2020,07/27/2020,Standard,Workforce Scheduling,266,66.24,66.3,2020
Fusion Energy,dd5-d13d,07/20/2020,07/22/2020,Express,Combustion Fluids,295,250.05,82.22,2020
Fusion Energy,8ec-2858,07/20/2020,07/22/2020,Express,Cleaning Supplies,93,141.55,61.21,2020
Fusion Energy,701-3e03,07/20/2020,07/25/2020,Standard,Greases,213,205.85,13.2,2020
Fusion Energy,fb7-f8fa,07/20/2020,07/22/2020,Express,Rubber,258,163.02,81.85,2020
Bitterroot Wood Studio,f18-9c0b,07/20/2020,07/20/2020,Same Day,Chairs,261,75.64,54.0,2020
Bitterroot Wood Studio,e20-6f1c,07/20/2020,07/22/2020,Express,Tables,165,52.1,39.84,2020
Bitterroot Wood Studio,0d0-49f4,07/20/2020,07/25/2020,Standard,Bedframes,211,127.06,40.1,2020
Bitterroot Wood Studio,e4c-ee4c,07/20/2020,07/20/2020,Same Day,Bookcases,126,269.85,78.39,2020
Bitterroot Wood Studio,87d-62a2,07/20/2020,07/20/2020,Same Day,Cabinets,254,272.85,11.88,2020
Echo,b2c-a7af,07/20/2020,07/20/2020,Same Day,accessories,198,79.25,25.88,2020
Echo,40c-3e13,07/20/2020,07/24/2020,Standard,phones,141,71.64,72.31,2020
Echo,20e-2f25,07/20/2020,07/20/2020,Same Day,computers,276,231.66,89.28,2020
Echo,af1-0c8d,07/20/2020,07/24/2020,Standard,tablets,14,44.67,59.34,2020
Echo,89f-67f0,07/20/2020,07/22/2020,Express,washers,131,191.5,91.54,2020
Echo,e59-54aa,07/20/2020,07/22/2020,Express,dryers,44,52.28,91.82,2020
Echo,d37-8801,07/20/2020,07/25/2020,Standard,car radios,235,61.03,26.1,2020
Apex Corporation,c6b-7de4,07/22/2020,07/28/2020,Standard,accessories,177,38.57,71.24,2020
Apex Corporation,eb1-dda7,07/22/2020,07/22/2020,Same Day,phones,202,253.14,83.79,2020
Apex Corporation,ba8-bf5b,07/22/2020,07/28/2020,Standard,computers,177,55.9,42.77,2020
Apex Corporation,048-4833,07/22/2020,07/24/2020,Express,tablets,194,208.04,76.76,2020
Apex Corporation,645-d3df,07/22/2020,07/22/2020,Same Day,televisions,129,21.16,70.26,2020
Maritime Data,a63-63ec,07/22/2020,07/28/2020,Standard,Cloud Service,256,90.2,41.0,2020
Maritime Data,59a-8b1d,07/22/2020,07/27/2020,Standard,Banking platform,225,285.3,84.41,2020
Maritime Data,710-db89,07/22/2020,07/28/2020,Standard,Business Analytics,48,50.41,80.91,2020
Maritime Data,7b1-f979,07/22/2020,07/22/2020,Same Day,Database Security,238,224.29,30.41,2020
Maritime Data,232-5dc7,07/22/2020,07/24/2020,Express,GPU Software,135,125.01,18.11,2020
Maritime Data,e8e-8562,07/22/2020,07/24/2020,Express,Workforce Scheduling,19,176.76,86.1,2020
Fusion Energy,969-30db,07/22/2020,07/27/2020,Standard,Combustion Fluids,105,54.82,98.25,2020
Fusion Energy,2bf-eea6,07/22/2020,07/22/2020,Same Day,Cleaning Supplies,177,155.32,15.72,2020
Fusion Energy,816-9107,07/22/2020,07/28/2020,Standard,Greases,208,119.68,78.03,2020
Fusion Energy,cfc-d00a,07/22/2020,07/24/2020,Express,Rubber,20,139.86,70.48,2020
Bitterroot Wood Studio,e68-ace8,07/22/2020,07/22/2020,Same Day,Chairs,14,151.06,83.12,2020
Bitterroot Wood Studio,7f2-8882,07/22/2020,07/24/2020,Express,Tables,172,63.67,91.8,2020
Bitterroot Wood Studio,7c2-c08b,07/22/2020,07/24/2020,Express,Bedframes,258,276.39,97.02,2020
Bitterroot Wood Studio,ace-108e,07/22/2020,07/29/2020,Standard,Bookcases,230,152.02,10.0,2020
Bitterroot Wood Studio,4ad-eee1,07/22/2020,07/22/2020,Same Day,Cabinets,158,282.53,24.79,2020
Echo,49a-db32,07/22/2020,07/27/2020,Standard,accessories,229,247.34,76.32,2020
Echo,1af-dddb,07/22/2020,07/22/2020,Same Day,phones,95,89.65,90.86,2020
Echo,638-2a15,07/22/2020,07/27/2020,Standard,computers,227,55.41,93.19,2020
Echo,320-a3ed,07/22/2020,07/24/2020,Express,tablets,153,201.51,15.33,2020
Echo,430-7766,07/22/2020,07/24/2020,Express,washers,64,134.85,38.91,2020
Echo,f92-a7e1,07/22/2020,07/27/2020,Standard,dryers,35,66.26,19.04,2020
Echo,6e6-078b,07/22/2020,07/29/2020,Standard,car radios,215,268.38,42.89,2020
Apex Corporation,308-7b3e,07/23/2020,07/29/2020,Standard,accessories,273,144.15,26.96,2020
Apex Corporation,f0d-4585,07/23/2020,07/25/2020,Express,phones,193,46.44,34.47,2020
Apex Corporation,b23-ec09,07/23/2020,07/25/2020,Express,computers,34,199.31,30.37,2020
Apex Corporation,58b-f214,07/23/2020,07/25/2020,Express,tablets,44,160.0,76.37,2020
Apex Corporation,70c-f04a,07/23/2020,07/28/2020,Standard,televisions,192,192.45,52.46,2020
Maritime Data,bc7-18c7,07/23/2020,07/23/2020,Same Day,Cloud Service,151,194.62,50.68,2020
Maritime Data,96b-0631,07/23/2020,07/25/2020,Express,Banking platform,167,285.72,29.13,2020
Maritime Data,036-b352,07/23/2020,07/23/2020,Same Day,Business Analytics,105,205.77,21.9,2020
Maritime Data,df3-32e1,07/23/2020,07/25/2020,Express,Database Security,298,125.74,36.51,2020
Maritime Data,62b-034b,07/23/2020,07/28/2020,Standard,GPU Software,231,112.74,34.79,2020
Maritime Data,cf8-0f8b,07/23/2020,07/25/2020,Express,Workforce Scheduling,157,275.57,51.97,2020
Fusion Energy,56b-2a0a,07/23/2020,07/23/2020,Same Day,Combustion Fluids,116,102.33,71.2,2020
Fusion Energy,99a-5151,07/23/2020,07/28/2020,Standard,Cleaning Supplies,250,246.55,21.95,2020
Fusion Energy,5d7-6187,07/23/2020,07/23/2020,Same Day,Greases,200,255.4,74.45,2020
Fusion Energy,bc1-19bc,07/23/2020,07/25/2020,Express,Rubber,185,168.02,54.97,2020
Bitterroot Wood Studio,714-17f0,07/23/2020,07/25/2020,Express,Chairs,266,292.36,39.5,2020
Bitterroot Wood Studio,ba5-2b20,07/23/2020,07/25/2020,Express,Tables,97,271.41,94.39,2020
Bitterroot Wood Studio,3fe-8482,07/23/2020,07/28/2020,Standard,Bedframes,237,103.44,38.36,2020
Bitterroot Wood Studio,5da-3312,07/23/2020,07/25/2020,Express,Bookcases,170,187.17,67.61,2020
Bitterroot Wood Studio,61f-a86d,07/23/2020,07/29/2020,Standard,Cabinets,258,285.43,22.21,2020
Echo,e17-334e,07/23/2020,07/25/2020,Express,accessories,22,282.07,85.81,2020
Echo,f36-62b9,07/23/2020,07/25/2020,Express,phones,216,240.53,33.2,2020
Echo,994-4c0f,07/23/2020,07/28/2020,Standard,computers,162,165.4,25.6,2020
Echo,a29-21eb,07/23/2020,07/25/2020,Express,tablets,118,156.01,78.64,2020
Echo,d4a-436b,07/23/2020,07/30/2020,Standard,washers,211,232.09,18.56,2020
Echo,6de-00fe,07/23/2020,07/29/2020,Standard,dryers,101,228.73,69.92,2020
Echo,db5-39e0,07/23/2020,07/25/2020,Express,car radios,131,178.28,51.87,2020
Apex Corporation,cc6-135b,07/24/2020,07/26/2020,Express,accessories,291,148.8,29.07,2020
Apex Corporation,eb8-34a3,07/24/2020,07/26/2020,Express,phones,110,270.55,97.69,2020
Apex Corporation,4bb-0d1e,07/24/2020,07/24/2020,Same Day,computers,232,76.3,52.1,2020
Apex Corporation,946-514c,07/24/2020,07/30/2020,Standard,tablets,251,146.57,43.88,2020
Apex Corporation,d4c-c27e,07/24/2020,07/24/2020,Same Day,televisions,283,278.71,85.69,2020
Maritime Data,475-f746,07/24/2020,07/29/2020,Standard,Cloud Service,259,233.26,95.41,2020
Maritime Data,dde-117d,07/24/2020,07/28/2020,Standard,Banking platform,128,106.17,29.42,2020
Maritime Data,61c-13e6,07/24/2020,07/24/2020,Same Day,Business Analytics,159,135.27,75.36,2020
Maritime Data,18c-a82f,07/24/2020,07/24/2020,Same Day,Database Security,136,189.06,87.32,2020
Maritime Data,307-d6b1,07/24/2020,07/24/2020,Same Day,GPU Software,228,271.94,67.25,2020
Maritime Data,0d8-5830,07/24/2020,07/30/2020,Standard,Workforce Scheduling,236,198.82,48.38,2020
Fusion Energy,678-3ef5,07/24/2020,07/24/2020,Same Day,Combustion Fluids,70,179.21,75.95,2020
Fusion Energy,522-f379,07/24/2020,07/24/2020,Same Day,Cleaning Supplies,184,191.18,94.61,2020
Fusion Energy,987-d0b1,07/24/2020,07/24/2020,Same Day,Greases,286,235.65,61.67,2020
Fusion Energy,10f-75fe,07/24/2020,07/30/2020,Standard,Rubber,248,185.15,31.79,2020
Bitterroot Wood Studio,855-dcec,07/24/2020,07/24/2020,Same Day,Chairs,274,140.94,67.74,2020
Bitterroot Wood Studio,3bf-c156,07/24/2020,07/29/2020,Standard,Tables,73,34.0,46.06,2020
Bitterroot Wood Studio,74f-536e,07/24/2020,07/26/2020,Express,Bedframes,190,94.11,28.08,2020
Bitterroot Wood Studio,6b4-3577,07/24/2020,07/30/2020,Standard,Bookcases,126,117.54,67.12,2020
Bitterroot Wood Studio,bd6-657b,07/24/2020,07/24/2020,Same Day,Cabinets,83,214.14,42.12,2020
Echo,e75-31fd,07/24/2020,07/26/2020,Express,accessories,56,174.99,33.54,2020
Echo,fec-8a87,07/24/2020,07/26/2020,Express,phones,156,25.78,66.03,2020
Echo,da3-bc0f,07/24/2020,07/24/2020,Same Day,computers,29,146.43,90.55,2020
Echo,0e6-65c7,07/24/2020,07/24/2020,Same Day,tablets,43,132.85,81.67,2020
Echo,b3a-9d93,07/24/2020,07/29/2020,Standard,washers,99,21.94,90.77,2020
Echo,e3a-c057,07/24/2020,07/29/2020,Standard,dryers,78,80.6,22.35,2020
Echo,69c-f3de,07/24/2020,07/24/2020,Same Day,car radios,46,201.02,65.52,2020
Apex Corporation,b94-04b4,07/26/2020,07/28/2020,Express,accessories,200,70.74,50.66,2020
Apex Corporation,466-a743,07/26/2020,07/28/2020,Express,phones,224,119.66,82.94,2020
Apex Corporation,95c-f8d7,07/26/2020,07/31/2020,Standard,computers,193,273.14,62.87,2020
Apex Corporation,779-0167,07/26/2020,08/01/2020,Standard,tablets,126,234.06,94.31,2020
Apex Corporation,bc1-3f01,07/26/2020,07/28/2020,Express,televisions,153,248.01,27.68,2020
Maritime Data,192-7bf3,07/26/2020,07/31/2020,Standard,Cloud Service,76,101.78,88.28,2020
Maritime Data,f6c-7132,07/26/2020,07/26/2020,Same Day,Banking platform,188,109.73,81.6,2020
Maritime Data,368-1e8f,07/26/2020,07/28/2020,Express,Business Analytics,81,245.21,98.28,2020
Maritime Data,c10-99f4,07/26/2020,08/03/2020,Standard,Database Security,52,143.55,24.99,2020
Maritime Data,c5e-5aab,07/26/2020,07/30/2020,Standard,GPU Software,161,137.09,50.97,2020
Maritime Data,3f9-fd9b,07/26/2020,07/28/2020,Express,Workforce Scheduling,54,95.55,46.02,2020
Fusion Energy,4c2-d312,07/26/2020,08/03/2020,Standard,Combustion Fluids,162,294.4,80.7,2020
Fusion Energy,0b2-2ae3,07/26/2020,07/26/2020,Same Day,Cleaning Supplies,102,66.09,19.99,2020
Fusion Energy,e0b-bf44,07/26/2020,07/31/2020,Standard,Greases,66,20.85,14.85,2020
Fusion Energy,831-9a81,07/26/2020,07/26/2020,Same Day,Rubber,112,184.55,37.5,2020
Bitterroot Wood Studio,4b9-bc88,07/26/2020,07/26/2020,Same Day,Chairs,299,154.08,27.84,2020
Bitterroot Wood Studio,458-5f5b,07/26/2020,07/26/2020,Same Day,Tables,241,236.17,60.16,2020
Bitterroot Wood Studio,829-5a7e,07/26/2020,07/26/2020,Same Day,Bedframes,269,273.29,46.93,2020
Bitterroot Wood Studio,36c-60bf,07/26/2020,07/26/2020,Same Day,Bookcases,286,192.1,30.94,2020
Bitterroot Wood Studio,406-4331,07/26/2020,07/31/2020,Standard,Cabinets,25,271.02,55.04,2020
Echo,5b1-ad1a,07/26/2020,07/28/2020,Express,accessories,25,147.76,41.83,2020
Echo,7a0-b823,07/26/2020,07/26/2020,Same Day,phones,215,188.82,26.14,2020
Echo,c89-d275,07/26/2020,07/28/2020,Express,computers,85,156.05,38.48,2020
Echo,317-5348,07/26/2020,07/26/2020,Same Day,tablets,157,92.64,43.2,2020
Echo,c68-7b25,07/26/2020,07/26/2020,Same Day,washers,100,34.36,61.94,2020
Echo,db8-416d,07/26/2020,07/26/2020,Same Day,dryers,218,163.93,90.79,2020
Echo,c21-fa41,07/26/2020,07/28/2020,Express,car radios,149,280.79,77.15,2020
Apex Corporation,5a1-a185,07/29/2020,07/31/2020,Express,accessories,262,140.12,15.37,2020
Apex Corporation,090-726e,07/29/2020,07/31/2020,Express,phones,118,66.08,41.95,2020
Apex Corporation,f82-cc7b,07/29/2020,07/31/2020,Express,computers,280,189.8,97.68,2020
Apex Corporation,df4-a316,07/29/2020,07/29/2020,Same Day,tablets,105,228.57,46.04,2020
Apex Corporation,1ce-1f6d,07/29/2020,07/29/2020,Same Day,televisions,26,125.84,15.64,2020
Maritime Data,1d9-e68b,07/29/2020,08/03/2020,Standard,Cloud Service,272,142.37,95.68,2020
Maritime Data,71a-30be,07/29/2020,07/29/2020,Same Day,Banking platform,256,242.76,51.73,2020
Maritime Data,e0b-f280,07/29/2020,08/05/2020,Standard,Business Analytics,221,291.87,10.8,2020
Maritime Data,ee5-cd29,07/29/2020,08/03/2020,Standard,Database Security,19,212.41,38.66,2020
Maritime Data,32c-8651,07/29/2020,08/04/2020,Standard,GPU Software,42,265.17,64.57,2020
Maritime Data,706-fbd9,07/29/2020,08/04/2020,Standard,Workforce Scheduling,81,181.19,52.79,2020
Fusion Energy,192-67d4,07/29/2020,07/31/2020,Express,Combustion Fluids,187,235.49,49.88,2020
Fusion Energy,97a-4532,07/29/2020,07/31/2020,Express,Cleaning Supplies,136,127.56,19.91,2020
Fusion Energy,3bc-c6af,07/29/2020,08/03/2020,Standard,Greases,91,49.6,20.02,2020
Fusion Energy,e5a-2777,07/29/2020,07/31/2020,Express,Rubber,50,156.83,27.36,2020
Bitterroot Wood Studio,8cf-ceec,07/29/2020,08/03/2020,Standard,Chairs,233,234.25,48.32,2020
Bitterroot Wood Studio,fe3-911c,07/29/2020,07/29/2020,Same Day,Tables,255,102.54,86.91,2020
Bitterroot Wood Studio,5d7-bd47,07/29/2020,08/03/2020,Standard,Bedframes,128,154.56,77.56,2020
Bitterroot Wood Studio,306-b0c1,07/29/2020,07/29/2020,Same Day,Bookcases,112,251.32,82.95,2020
Bitterroot Wood Studio,211-3ba2,07/29/2020,08/05/2020,Standard,Cabinets,127,221.93,40.41,2020
Echo,ff2-e5a4,07/29/2020,07/29/2020,Same Day,accessories,183,297.19,79.67,2020
Echo,8e8-c289,07/29/2020,08/04/2020,Standard,phones,264,145.53,11.74,2020
Echo,8ad-6a14,07/29/2020,07/29/2020,Same Day,computers,150,164.16,85.59,2020
Echo,f98-9fb3,07/29/2020,07/29/2020,Same Day,tablets,293,260.94,52.45,2020
Echo,d4d-bb08,07/29/2020,07/31/2020,Express,washers,194,45.5,33.3,2020
Echo,752-bd58,07/29/2020,08/03/2020,Standard,dryers,139,102.67,25.08,2020
Echo,16e-e028,07/29/2020,07/31/2020,Express,car radios,52,154.21,31.58,2020
Apex Corporation,56b-22d3,07/31/2020,08/04/2020,Standard,accessories,207,122.54,20.21,2020
Apex Corporation,006-fd15,07/31/2020,07/31/2020,Same Day,phones,267,159.97,12.75,2020
Apex Corporation,bac-fb91,07/31/2020,07/31/2020,Same Day,computers,180,262.64,65.98,2020
Apex Corporation,119-9ce3,07/31/2020,08/02/2020,Express,tablets,183,134.46,93.08,2020
Apex Corporation,ac9-94ab,07/31/2020,07/31/2020,Same Day,televisions,50,163.1,91.29,2020
Maritime Data,1fe-1239,07/31/2020,07/31/2020,Same Day,Cloud Service,44,79.9,40.42,2020
Maritime Data,1df-cb09,07/31/2020,08/02/2020,Express,Banking platform,256,42.97,20.55,2020
Maritime Data,dd8-aac1,07/31/2020,07/31/2020,Same Day,Business Analytics,279,293.96,57.24,2020
Maritime Data,4b9-5359,07/31/2020,07/31/2020,Same Day,Database Security,228,224.97,96.05,2020
Maritime Data,d52-f22d,07/31/2020,08/02/2020,Express,GPU Software,67,89.66,35.29,2020
Maritime Data,624-fe1a,07/31/2020,08/02/2020,Express,Workforce Scheduling,211,31.43,73.06,2020
Fusion Energy,870-5add,07/31/2020,08/05/2020,Standard,Combustion Fluids,168,149.3,83.26,2020
Fusion Energy,651-2b56,07/31/2020,08/07/2020,Standard,Cleaning Supplies,260,209.09,19.24,2020
Fusion Energy,86b-9fdf,07/31/2020,08/02/2020,Express,Greases,274,93.16,95.95,2020
Fusion Energy,ef7-513a,07/31/2020,08/02/2020,Express,Rubber,205,255.27,77.88,2020
Bitterroot Wood Studio,d68-7281,07/31/2020,08/02/2020,Express,Chairs,60,217.54,13.19,2020
Bitterroot Wood Studio,b2c-44c3,07/31/2020,08/05/2020,Standard,Tables,79,232.8,36.31,2020
Bitterroot Wood Studio,63d-ed2b,07/31/2020,08/06/2020,Standard,Bedframes,50,56.41,22.23,2020
Bitterroot Wood Studio,74e-175d,07/31/2020,08/07/2020,Standard,Bookcases,90,182.28,61.53,2020
Bitterroot Wood Studio,148-fa8f,07/31/2020,08/04/2020,Standard,Cabinets,230,290.28,38.53,2020
Echo,544-0f77,07/31/2020,08/02/2020,Express,accessories,160,179.29,41.93,2020
Echo,35b-02bc,07/31/2020,08/05/2020,Standard,phones,52,21.46,57.87,2020
Echo,b5b-30a4,07/31/2020,08/02/2020,Express,computers,114,193.44,77.34,2020
Echo,ffb-1dba,07/31/2020,08/02/2020,Express,tablets,213,114.79,85.57,2020
Echo,8aa-9363,07/31/2020,07/31/2020,Same Day,washers,68,80.54,85.73,2020
Echo,6dc-5ebb,07/31/2020,07/31/2020,Same Day,dryers,211,291.34,14.96,2020
Echo,7d7-516e,07/31/2020,07/31/2020,Same Day,car radios,158,125.09,17.21,2020
Apex Corporation,a84-e5b3,08/01/2020,08/05/2020,Standard,accessories,198,120.64,54.81,2020
Apex Corporation,e1a-ef6f,08/01/2020,08/01/2020,Same Day,phones,239,131.67,10.37,2020
Apex Corporation,533-3bde,08/01/2020,08/06/2020,Standard,computers,193,108.75,23.64,2020
Apex Corporation,638-33d3,08/01/2020,08/03/2020,Express,tablets,82,124.59,13.97,2020
Apex Corporation,796-bcf0,08/01/2020,08/06/2020,Standard,televisions,76,206.07,79.02,2020
Maritime Data,686-ad0f,08/01/2020,08/01/2020,Same Day,Cloud Service,53,20.15,24.36,2020
Maritime Data,232-2b7f,08/01/2020,08/03/2020,Express,Banking platform,256,24.1,93.67,2020
Maritime Data,6ad-f2e5,08/01/2020,08/03/2020,Express,Business Analytics,141,282.34,74.62,2020
Maritime Data,0c5-9e2a,08/01/2020,08/05/2020,Standard,Database Security,214,234.12,25.4,2020
Maritime Data,30a-f91f,08/01/2020,08/01/2020,Same Day,GPU Software,56,63.76,47.83,2020
Maritime Data,f4e-35cb,08/01/2020,08/01/2020,Same Day,Workforce Scheduling,203,207.92,58.29,2020
Fusion Energy,997-df3b,08/01/2020,08/03/2020,Express,Combustion Fluids,106,102.67,67.64,2020
Fusion Energy,32b-8a75,08/01/2020,08/01/2020,Same Day,Cleaning Supplies,146,148.92,88.91,2020
Fusion Energy,0a4-2e8c,08/01/2020,08/07/2020,Standard,Greases,41,137.38,59.68,2020
Fusion Energy,69c-7865,08/01/2020,08/03/2020,Express,Rubber,208,212.09,15.94,2020
Bitterroot Wood Studio,b12-8154,08/01/2020,08/08/2020,Standard,Chairs,72,145.71,84.74,2020
Bitterroot Wood Studio,a64-0668,08/01/2020,08/03/2020,Express,Tables,143,102.83,57.91,2020
Bitterroot Wood Studio,478-cf95,08/01/2020,08/01/2020,Same Day,Bedframes,200,260.85,43.62,2020
Bitterroot Wood Studio,c3a-c072,08/01/2020,08/08/2020,Standard,Bookcases,230,257.23,42.14,2020
Bitterroot Wood Studio,75a-c215,08/01/2020,08/03/2020,Express,Cabinets,53,254.38,44.54,2020
Echo,3a6-d8aa,08/01/2020,08/01/2020,Same Day,accessories,26,110.16,44.11,2020
Echo,efa-af38,08/01/2020,08/03/2020,Express,phones,136,34.79,24.63,2020
Echo,0c9-acd7,08/01/2020,08/03/2020,Express,computers,201,181.31,63.55,2020
Echo,5fc-a094,08/01/2020,08/01/2020,Same Day,tablets,142,100.58,97.64,2020
Echo,028-da04,08/01/2020,08/05/2020,Standard,washers,128,102.76,67.51,2020
Echo,64f-0fda,08/01/2020,08/08/2020,Standard,dryers,244,176.54,78.62,2020
Echo,27c-e44d,08/01/2020,08/03/2020,Express,car radios,79,195.28,48.19,2020
Apex Corporation,f9c-d05f,08/04/2020,08/04/2020,Same Day,accessories,147,251.59,71.25,2020
Apex Corporation,158-c182,08/04/2020,08/06/2020,Express,phones,32,157.91,56.5,2020
Apex Corporation,142-c33b,08/04/2020,08/10/2020,Standard,computers,134,111.71,56.15,2020
Apex Corporation,832-55c0,08/04/2020,08/04/2020,Same Day,tablets,134,117.18,73.34,2020
Apex Corporation,a38-5d5a,08/04/2020,08/06/2020,Express,televisions,280,182.89,11.65,2020
Maritime Data,e34-8d06,08/04/2020,08/06/2020,Express,Cloud Service,105,209.34,38.88,2020
Maritime Data,a4f-d3e7,08/04/2020,08/04/2020,Same Day,Banking platform,94,173.63,65.63,2020
Maritime Data,e9b-f28d,08/04/2020,08/04/2020,Same Day,Business Analytics,107,47.15,94.45,2020
Maritime Data,da7-8771,08/04/2020,08/04/2020,Same Day,Database Security,52,159.28,39.31,2020
Maritime Data,274-0be6,08/04/2020,08/06/2020,Express,GPU Software,117,285.13,29.45,2020
Maritime Data,f2f-f27c,08/04/2020,08/06/2020,Express,Workforce Scheduling,171,290.11,39.29,2020
Fusion Energy,639-346d,08/04/2020,08/06/2020,Express,Combustion Fluids,282,239.02,75.8,2020
